"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-11","7.83","0.00","48","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-12","14.09","0.61","62","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-13","10.51","0.36","69","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-14","9.62","0.00","63","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-15","24.38","0.52","61","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-16","18.57","0.00","66","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-17","9.62","0.00","57","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-18","18.34","0.00","58","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-19","21.70","0.02","70","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-20","17.22","0.56","62","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-21","9.62","0.01","62","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-22","10.51","0.48","62","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-23","9.40","0.00","70","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-24","12.75","0.03","70","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-25","8.28","0.03","58","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-26","13.42","1.11","59","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-27","18.34","0.04","61","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-28","9.84","0.01","55","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-29","9.84","0.04","55","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-04-30","5.14","0.09","59","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-01","8.50","0.02","54","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-02","8.95","0.18","70","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-03","5.82","0.21","56","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-04","6.04","0.10","65","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-05","11.41","1.52","57","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-06","9.40","0.01","68","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-07","10.07","0.04","62","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-08","8.28","0.00","68","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-09","13.87","0.00","56","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-10","13.42","0.01","67","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-11","9.84","0.02","70","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-12","13.87","1.07","56","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-13","10.51","0.65","49","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-14","6.71","0.12","51","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-15","10.51","0.03","66","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-16","8.95","0.05","68","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-17","6.71","0.25","71","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-18","10.51","0.00","71","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-19","14.32","0.14","69","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-20","12.08","0.00","86","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-21","20.58","0.00","73","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-22","10.29","0.00","74","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-23","10.51","0.41","69","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-24","18.34","0.00","75","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-25","12.30","0.00","66","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-26","10.07","0.15","85","59"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-27","10.29","0.00","81","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-28","11.41","0.12","71","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-29","8.95","0.43","71","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-30","6.26","1.23","64","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-05-31","10.07","0.00","80","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-01","6.93","0.00","78","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-02","8.50","0.25","79","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-03","12.97","0.00","72","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-04","12.75","0.00","70","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-05","12.30","0.16","75","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-06","8.50","0.46","84","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-07","6.04","0.00","77","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2019-06-08","10.29","0.00","78","60"
